UserLoation;UserCountry;UserName;text
Bronx, NY;US;strongjalopy;\"@Rosie @realDonaldTrump Rosie, he prefers to be called Lil' Dick Donny... #LILDICKDONNY\"
Texas, USA;US;SylviaHandwerg4;'Ever!!!!!! https://t.co/zWvEahPN5w'
Dracut, MA;US;Scondrasht;\"@FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe When he died a couple months ago, Trump didn't acknowledge https://t.co/26fYkWj9HH\"
New York, NY;US;cschulzy;'@realDonaldTrump No one cares about this because you cover the rest of your twitter feed in shit. Stop covering yourself in shit.'
N.Texas, USA;US;BarbHolladay;\"He's not as orange but still has Little Hands. https://t.co/oq7RS4Pg7V\"
Duluth, GA;US;Yemayah777;\"Nope he's in office because of Putin. https://t.co/uQBgw0n1l5\"
La Paz - Bolivia;BO;LaRazon_Bolivia;'.@realDonaldTrump insulta y ridiculiza en #Twitter a una presentadora de televisin https://t.co/01BqdJWlmL https://t.co/GmVa4LBkK6'
Wilmington, NC;US;Steph_E_Spencer;\"Trying to picture what G. Washington, A. Lincoln, T. Roosevelt, or J. Kennedy would have to say about @realDonaldTrump's latest tweets... \"
East Longmeadow, MA;US;PhilLarosamktg;'@realDonaldTrump when will you start to act presidential in your office stop the tweets stopped acting like a 10-year-old and do your job !!'
Philly , PA, United State;US;1Speakdude;'@NancyPelosi @realDonaldTrump You want sexist. Cuddle my manstraw'
Solano County, CA;US;debjk04;\"@realDonaldTrump OMG why? I can't defend such undignified &amp\; frankly gross remarks. You're engaging in cyber-bullyin https://t.co/cPiLmN0gNs\"
Los Angeles, CA;US;ChangeTheLAUSD;\".@realDonaldTrump is unstable and unfit to serve as a dog catcher, never mind @pity's! #resist https://t.co/L8LoWtJcVR\"
Miami, Fl;US;ElectrikOne;\"@Mrs_MV3 @realDonaldTrump It's almost too much to believe.\"
Orig: Florida, Now Tennessee!;US;dlwood1988;\"I don't believe it! All people in America should have to abide by this HC, including ALL Govt! Then they will get i https://t.co/iewE0XeAwJ\"
Northern Virginia;US;HedgesLaker;'@tweetmommybop @cait_harding @Rosie @realDonaldTrump Republicans know he is bat-shit crazy and is a danger to Ameri https://t.co/XEoXfRd0MB'
Duluth, GA;US;Yemayah777;'Thank you for your service sir. https://t.co/wiMtJ1FLKP'
Weed OR;US;BandonJim;\"@BillKristol @realDonaldTrump Sir: Here's a copy of deleted tweet. @morningmika @Morning_Joe @JoeNBC #USA #Breaking https://t.co/kmnZE82YGw\"
Los Angeles, CA ;US;ANTONIASABILLON;\"You're trash @realDonaldTrump\"
PDX;US;EllenInOregon;'We should still be shocked by a President who speaks with such disrespect to anyone. #unpresidential @FLOTUS https://t.co/UOHlReTsHs'
Raleigh, NC;US;camperrevamper;'Read this, @realDonaldTrump https://t.co/tZs4DTqw2V'
Franklin, MA United States;US;LydiLouiKats;'@realDonaldTrump Don\\'t believe anything this \"CRAZY MAN\"! Says he\\'s unstable! '
Queens, NY;US;brianedenton;'@realDonaldTrump is a cretinous, shit-witted infant homunculus. What an embarrassment. https://t.co/2TsRRNh3Gx'
